2024 Utility Bundled Retail Sales- Commercial,,,,,,
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
"Grayson-Collin Elec Coop, Inc",TX,Cooperative,"5,055","301,890","44,627.0",14.78
Green Mountain Energy Company,TX,Retail Power Marketer,"28,263","1,019,430","119,924.4",11.76
"Greenbelt Electric Coop, Inc",TX,Cooperative,825,"22,177","3,158.0",14.24
Gridmatic Retail LLC,TX,Retail Power Marketer,69,"56,824","4,247.0",7.47
Guadalupe Valley Elec Coop Inc,TX,Cooperative,"10,544","366,237","41,649.7",11.37
"HILCO Electric Cooperative, Inc.",TX,Cooperative,"8,438","180,767","26,228.0",14.51
Hamilton County Elec Coop Assn,TX,Cooperative,798,"31,170","3,995.5",12.82
Heart of Texas Electric Coop,TX,Cooperative,"5,928","86,604","11,987.0",13.84
Heritage Power LLC,TX,Retail Power Marketer,742,"32,140","4,181.1",13.01
Houston County Elec Coop Inc,TX,Cooperative,"1,466","59,552","7,600.4",12.76
Hudson Energy Services,TX,Retail Power Marketer,"41,322","3,113,514","322,534.7",10.36
Ironhorse Power Services LLC,TX,Retail Power Marketer,"5,193","304,359","22,366.7",7.35
"JP Energy Resources, LLC",TX,Retail Power Marketer,353,"9,790",906.1,9.26
"Jackson Electric Coop, Inc - (TX)",TX,Cooperative,"1,722","47,660","5,752.0",12.07
"Jasper-Newton Elec Coop, Inc",TX,Cooperative,"2,571","44,456","6,814.0",15.33
Just Energy,TX,Retail Power Marketer,"20,249","444,623","64,146.9",14.43
Karnes Electric Coop Inc,TX,Cooperative,"9,416","640,754","59,235.0",9.24
Kerrville Public Utility Board,TX,Municipal,"4,109","222,391","18,341.1",8.25
Lamar County Elec Coop Assn,TX,Cooperative,"1,078","126,944","14,316.7",11.28
"Lamb County Electric Coop, Inc",TX,Cooperative,"1,528","61,242","5,141.0",8.39
"Lea County Electric Coop, Inc - (NM)",TX,Cooperative,"3,304","440,854","34,218.0",7.76
