DATA_CENTER_BUILDING_NAME,PROVIDER_NAME,TOT_POWER_MW,County
CU1 Culpeper Data Center,Equinix,11.0,Culpeper County
CU2 Culpeper Data Center,Equinix,11.0,Culpeper County
DC14 Manassas Data Center,Equinix,12.3145,Prince William County
DC13 Ashburn Data Center,Equinix,12.0,Loudoun County
DC4 Ashburn Data Center,Equinix,6.0,Loudoun County
DC5 Ashburn Data Center,Equinix,6.0,Loudoun County
DC3 Ashburn Data Center,Equinix,5.0,Loudoun County
DC1 Ashburn Data Center,Equinix,2.0,Loudoun County
DC2 Ashburn Data Center,Equinix,4.0,Loudoun County
DC6 Ashburn Data Center,Equinix,7.0,Loudoun County
DC11 Ashburn Data Center,Equinix,4.0,Loudoun County
DC21 Ashburn Data Center,Equinix,12.0,Loudoun County
DC16 Ashburn Data Center,Equinix,9.597,Loudoun County
DC10 Ashburn Data Center,Equinix,6.5736,Loudoun County
DC12 Ashburn Data Center,Equinix,13.3395,Loudoun County
DC15 Ashburn Data Center,Equinix,14.0,Loudoun County
DC7 Vienna Data Center,Equinix,2.0,Fairfax County
Henrico Data Center Building 1,Facebook,55.25,Henrico County
Henrico Data Center Building 2,Facebook,55.25,Henrico County
Henrico Data Center Building 3,Facebook,55.25,Henrico County
Henrico Data Center Building 4,Facebook,55.25,Henrico County
Henrico Data Center Building 5,Facebook,55.25,Henrico County
Richmond Data Center,Flexential,2.0,Henrico County
Google Prince William County - Building 3,Google,88.0,Prince William County
Google Prince William County - Building 2,Google,88.0,Prince William County
Google Prince William County - Building 1,Google,88.0,Prince William County
Google Loudoun County Data Center 2,Google,28.635,Loudoun County
Google Loudoun County Data Center 1,Google,28.635,Loudoun County
Google Arcola Data Center Building 2,Google,88.0,Loudoun County
Google Arcola Data Center Building 1,Google,40.6581818181818,Loudoun County
Google Cloud Plaza Data Center ,Google,41.2281818181818,Fairfax County
McLean 1 Data Center,Lumen,3.6805,Fairfax County
Microsoft Data Center Boydton Building 9,Microsoft,42.0,Mecklenburg County
Microsoft Data Center Boydton Building 7,Microsoft,24.0,Mecklenburg County
Microsoft Data Center Boydton Building 5,Microsoft,24.0,Mecklenburg County
Microsoft Data Center Boydton Building 10,Microsoft,42.0,Mecklenburg County
Microsoft Data Center Boydton Building 3,Microsoft,24.0,Mecklenburg County
Microsoft Data Center Boydton Building 2,Microsoft,30.0,Mecklenburg County
Microsoft Data Center Boydton Building 8,Microsoft,24.0,Mecklenburg County
Microsoft Data Center Boydton Building 11,Microsoft,18.0,Mecklenburg County
Microsoft Data Center Boydton Building 6,Microsoft,24.0,Mecklenburg County
Microsoft Data Center Boydton Building 4,Microsoft,24.0,Mecklenburg County
Microsoft Data Center Boydton Building 1,Microsoft,66.0,Mecklenburg County
Microsoft Data Center Boydton Building 12,Microsoft,24.0,Mecklenburg County
Microsoft Data Center Boydton Building 1,Microsoft,54.0,Mecklenburg County
Microsoft Data Center Boydton Building 2,Microsoft,54.0,Mecosta County
Microsoft Prison Rd Data Center Building 1,Microsoft,54.0,Prince William County
Microsoft Data Center Boydton Building 3,Microsoft,54.0,Mecklenburg County
Microsoft Prison Rd Data Center Building 5,Microsoft,54.0,Prince William County
Microsoft Prison Rd Data Center Building 2,Microsoft,54.0,Loudoun County
Microsoft Data Center Boydton Building 4,Microsoft,54.0,Mecklenburg County
Microsoft Prison Rd Data Center Building 3,Microsoft,54.0,Loudoun County
Microsoft Prison Rd Data Center Building 6,Microsoft,54.0,Loudoun County
Microsoft Prison Rd Data Center Building 4,Microsoft,54.0,Loudoun County
Microsoft Data Center Boydton Building 1,Microsoft,54.0,Mecklenburg County
Microsoft Hillcrest Building 1,Microsoft,30.0,Loudoun County
Microsoft - 19515 Compass Creek (IAD1-1),Microsoft,30.0,Loudoun County
Microsoft - 19525 Compass Creek (IAD1-2),Microsoft,18.0,Loudoun County
Microsoft - 41730 Inclusion Ln (IAD3),Microsoft,54.0,Loudoun County
Microsoft - 41720 Inclusion Ln (IAD2),Microsoft,54.0,Loudoun County
Microsoft - 41700 Inclusion Ln (IAD4),Microsoft,54.0,Loudoun County
Microsoft - Growth Mindset Ln (IAD11),Microsoft,54.0,Loudoun County
VA10 Gainesville Data Center,NTT Global Data Centers,125.0,Prince William County
VA8 Ashburn Data Center,NTT Global Data Centers,,Loudoun County
VA6 Ashburn Data Center,NTT Global Data Centers,24.0,Loudoun County
VA5 Ashburn Data Center,NTT Global Data Centers,32.0,Loudoun County
VA4 Ashburn Data Center,NTT Global Data Centers,32.0,Loudoun County
VA3 Ashburn Data Center,NTT Global Data Centers,16.0,Loudoun County
VA2 Ashburn Data Center,NTT Global Data Centers,14.0,Loudoun County
