2024 Utility Bundled Retail Sales- Residential,,,,,,
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Ozarks Electric Coop Corp - (AR),AR,Cooperative,"72,076","889,081","115,836.0",13.03
Paragould Municipal Utilities,AR,Municipal,"12,540","199,769","18,933.0",9.48
Petit Jean Electric Coop Corp,AR,Cooperative,"18,776","212,826","33,236.0",15.62
"South Central Ark El Coop, Inc",AR,Cooperative,"9,410","108,938","16,012.0",14.70
Southwest Arkansas E C C,AR,Cooperative,"24,879","364,269","47,215.9",12.96
Southwestern Electric Power Co,AR,Investor Owned,"108,102","1,103,186","127,222.3",11.53
Sunnova,AR,Behind the Meter,30,43,12.7,29.53
Woodruff Electric Coop Corp,AR,Cooperative,"12,125","167,759","19,123.2",11.40
Ajo Improvement Co,AZ,Investor Owned,821,"5,396",678.0,12.56
Ak-Chin Electric Utility Authority,AZ,State,319,"5,016",649.5,12.95
Arizona Public Service Co,AZ,Investor Owned,"1,256,120","15,579,131","2,562,822.5",16.45
City of Mesa - (AZ),AZ,Municipal,"15,331","158,340","26,812.0",16.93
"Dixie Escalante R E A, Inc",AZ,Cooperative,"2,790","36,073","3,464.1",9.60
Electrical Dist No2 Pinal County,AZ,Political Subdivision,"5,218","66,589","8,833.0",13.26
Electrical Dist No3 Pinal County,AZ,Political Subdivision,"32,009","454,173","63,271.5",13.93
"EverBright, LLC",AZ,Behind the Meter,998,"15,149","1,491.6",9.85
"Garkane Energy Coop, Inc",AZ,Cooperative,"1,401","27,237","3,135.3",11.51
Gila River Indian Utility Authority (GRICUA),AZ,Cooperative,"2,682","47,079","6,709.0",14.25
"Mohave Electric Cooperative, Inc.",AZ,Cooperative,"41,009","485,505","54,352.3",11.20
Morenci Water and Electric,AZ,Investor Owned,"2,232","21,078","2,366.6",11.23
Navajo Tribal Utility Authority,AZ,State,"27,014","158,835","26,410.0",16.63
"Navopache Electric Coop, Inc",AZ,Cooperative,"40,076","294,157","39,512.0",13.43
"Palmetto Solar, LLC",AZ,Behind the Meter,259,"31,796","2,817.7",8.86
Salt River Project,AZ,Political Subdivision,"1,053,407","15,307,643","2,060,051.0",13.46
Spruce Finance,AZ,Behind the Meter,"3,620","41,092","4,384.5",10.67
Sulphur Springs Valley E C Inc,AZ,Cooperative,"46,008","409,660","55,275.9",13.49
"SunPower Capital, LLC",AZ,Behind the Meter,"11,459","114,832","18,324.7",15.96
Sunnova,AZ,Behind the Meter,"5,379","67,536","12,152.3",17.99
Sunrun Inc.,AZ,Behind the Meter,"40,061","527,055","72,286.1",13.72
Tesla Inc.,AZ,Behind the Meter,"40,229","445,065","54,161.2",12.17
