2024 Utility Bundled Retail Sales- Residential,,,,,,
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Lincoln Electric System,NE,Municipal,"134,912","1,307,690","141,987.4",10.86
Loup River Public Power Dist,NE,Political Subdivision,"16,292","239,409","25,351.0",10.59
Midwest Electric Member Corp - (NE),NE,Cooperative,"2,389","34,285","4,127.7",12.04
Nebraska Public Power District,NE,Political Subdivision,"73,650","828,834","88,105.0",10.63
Norris Public Power District,NE,Political Subdivision,"18,387","334,982","32,191.5",9.61
Northeast Power,NE,Political Subdivision,"6,846","109,811","10,682.0",9.73
Omaha Public Power District,NE,Political Subdivision,"362,918","3,852,495","476,086.0",12.36
Perennial Public Power Dist,NE,Political Subdivision,"4,142","75,351","7,342.7",9.74
South Central Public Pwr Dist,NE,Political Subdivision,"3,777","61,945","5,910.6",9.54
Southern Public Power District,NE,Political Subdivision,"15,215","236,324","21,776.1",9.21
Southwest Public Power Dist,NE,Political Subdivision,"2,186","34,326","3,486.3",10.16
"EverBright, LLC",NH,Behind the Meter,100,807,153.1,18.97
Liberty Utilities (Granite State Electri,NH,Investor Owned,"24,689","193,863","44,331.0",22.87
New Hampshire Elec Coop Inc,NH,Cooperative,"72,772","503,499","120,000.4",23.83
"Palmetto Solar, LLC",NH,Behind the Meter,3,146,41.0,28.08
Public Service Co of NH,NH,Investor Owned,"279,131","2,013,245","456,046.9",22.65
Sunnova,NH,Behind the Meter,241,"2,126",516.7,24.30
Sunrun Inc.,NH,Behind the Meter,"3,634","31,864","8,847.0",27.76
Tesla Inc.,NH,Behind the Meter,"1,205","7,451","1,324.0",17.77
Unitil Energy Systems,NH,Investor Owned,"39,656","292,866","68,319.4",23.33
Atlantic City Electric Co,NJ,Investor Owned,"472,020","3,587,649","840,014.9",23.41
City of Vineland - (NJ),NJ,Municipal,"22,774","209,692","37,399.4",17.84
"EverBright, LLC",NJ,Behind the Meter,160,"1,104",137.3,12.44
Jersey Central Power & Lt Co,NJ,Investor Owned,"964,802","9,161,728","1,433,528.6",15.65
"Palmetto Solar, LLC",NJ,Behind the Meter,8,144,29.6,20.56
Public Service Elec & Gas Co,NJ,Investor Owned,"1,966,950","13,348,755","2,725,411.6",20.42
Rockland Electric Co,NJ,Investor Owned,"63,679","708,844","149,165.1",21.04
Spruce Finance,NJ,Behind the Meter,"6,250","48,660","7,855.0",16.14
"SunPower Capital, LLC",NJ,Behind the Meter,"5,684","58,729","8,952.5",15.24
Sunnova,NJ,Behind the Meter,"30,079","250,957","47,779.9",19.04
Sunrun Inc.,NJ,Behind the Meter,"45,019","339,127","61,295.8",18.07
Tesla Inc.,NJ,Behind the Meter,"10,055","61,641","10,864.9",17.63
"Central New Mexico El Coop, Inc",NM,Cooperative,"19,126","134,301","23,048.0",17.16
"Central Valley Elec Coop, Inc",NM,Cooperative,"6,150","86,800","7,730.9",8.91
City of Farmington - (NM),NM,Municipal,"35,990","281,427","35,708.0",12.69
Continental Divide El Coop Inc,NM,Cooperative,"20,415","149,779","23,992.0",16.02
El Paso Electric Co,NM,Investor Owned,"94,760","841,142","85,468.0",10.16
"Farmers Electric Coop, Inc - (NM)",NM,Cooperative,"10,258","102,596","13,199.7",12.87
"Jemez Mountains Elec Coop, Inc",NM,Cooperative,"28,093","195,881","30,086.8",15.36
"Kit Carson Electric Coop, Inc",NM,Cooperative,"26,097","154,183","28,030.7",18.18
"Lea County Electric Coop, Inc - (NM)",NM,Cooperative,"7,217","97,978","9,864.0",10.07
Los Alamos County,NM,Municipal,"7,742","61,406","8,687.9",14.15
Navajo Tribal Utility Authority,NM,State,"9,834","60,590","10,016.0",16.53
"Navopache Electric Coop, Inc",NM,Cooperative,"1,493","8,107","1,211.0",14.94
Otero County Electric Coop Inc,NM,Cooperative,"16,448","113,297","20,000.0",17.65
"Palmetto Solar, LLC",NM,Behind the Meter,10,"1,209",126.2,10.44
Public Service Co of NM,NM,Investor Owned,"492,945","3,397,273","528,978.3",15.57
"Rio Grande Electric Coop, Inc",NM,Cooperative,232,"1,785",326.6,18.30
Roosevelt County Elec Coop Inc,NM,Cooperative,"3,918","49,024","5,916.0",12.07
Southwestern Electric Coop Inc - (NM),NM,Cooperative,"1,434","9,478","2,283.1",24.09
Southwestern Public Service Co,NM,Investor Owned,"100,540","1,201,772","143,947.6",11.98
"Springer Electric Coop, Inc",NM,Cooperative,"2,453","15,017","2,854.0",19.01
Sunnova,NM,Behind the Meter,866,"7,682","1,541.9",20.07
Sunrun Inc.,NM,Behind the Meter,"3,320","30,355","4,126.0",13.59
Tesla Inc.,NM,Behind the Meter,350,"2,665",421.7,15.82
"Tri-County Electric Coop, Inc (OK)",NM,Cooperative,3,5,1.9,38.00
City of Boulder City - (NV),NV,Municipal,"7,145","106,104","11,007.0",10.37
"Mt Wheeler Power, Inc",NV,Cooperative,"5,169","85,575","7,274.2",8.50
Nevada Power Co,NV,Investor Owned,"916,385","10,535,373","1,615,271.8",15.33
Overton Power District No 5,NV,Political Subdivision,"15,545","230,182","24,614.0",10.69
"Palmetto Solar, LLC",NV,Behind the Meter,1,2,0.8,40.00
Raft Rural Elec Coop Inc,NV,Cooperative,"1,564","16,609","1,701.0",10.24
Sierra Pacific Power Co,NV,Investor Owned,"330,891","2,726,243","395,796.6",14.52
Spruce Finance,NV,Behind the Meter,149,"1,533",201.3,13.13
"SunPower Capital, LLC",NV,Behind the Meter,"1,357","19,465","2,646.0",13.59
Sunnova,NV,Behind the Meter,"7,632","72,356","12,198.0",16.86
Sunrun Inc.,NV,Behind the Meter,"22,307","267,852","38,747.4",14.47
Surprise Valley Electrification,NV,Cooperative,6,55,7.6,13.82
Tesla Inc.,NV,Behind the Meter,"12,391","102,465","12,591.0",12.29
"Valley Electric Assn, Inc",NV,Cooperative,"22,368","321,264","53,734.4",16.73
Wells Rural Electric Co,NV,Cooperative,"4,621","59,139","5,946.1",10.05
Central Hudson Gas & Elec Corp,NY,Investor Owned,"229,592","1,839,240","462,463.0",25.14
City of Plattsburgh - (NY),NY,Municipal,"8,801","149,707","7,508.6",5.02
Consolidated Edison Co-NY Inc,NY,Investor Owned,"2,715,069","11,889,829","4,240,108.0",35.66
FirstEnergy Pennsylvania Electric Co,NY,Investor Owned,"3,355","30,246","4,578.3",15.14
Fishers Island Utility Co Inc,NY,Investor Owned,657,"5,018","1,915.3",38.17
Jamestown Board of Public Util,NY,Municipal,"15,562","151,534","12,766.9",8.43
Long Island Power Authority,NY,State,"1,029,943","9,129,181","2,243,175.7",24.57
New York State Elec & Gas Corp,NY,Investor Owned,"735,192","6,375,673","1,168,062.6",18.32
Niagara Mohawk Power Corp.,NY,Investor Owned,"1,430,208","10,935,613","1,883,342.6",17.22
Orange & Rockland Utils Inc,NY,Investor Owned,"170,465","1,371,430","319,627.5",23.31
"Palmetto Solar, LLC",NY,Behind the Meter,56,"2,199",366.2,16.65
Rochester Gas & Electric Corp,NY,Investor Owned,"294,053","2,393,943","449,135.6",18.76
Spruce Finance,NY,Behind the Meter,"8,051","54,681","10,130.6",18.53
"SunPower Capital, LLC",NY,Behind the Meter,"9,366","63,929","16,752.5",26.20
Sunnova,NY,Behind the Meter,"5,852","41,639","11,987.1",28.79
Sunrun Inc.,NY,Behind the Meter,"38,886","271,108","60,050.4",22.15
Tesla Inc.,NY,Behind the Meter,"16,990","99,930","18,580.5",18.59
Town of Massena - (NY),NY,Municipal,"8,156","113,978","7,060.4",6.19
Village of Fairport - (NY),NY,Municipal,"16,462","231,269","15,472.9",6.69
Village of Freeport - (NY),NY,Municipal,"13,353","123,471","17,431.0",14.12
Village of Solvay - (NY),NY,Municipal,"4,680","58,052","3,769.0",6.49
"Buckeye Rural Elec Coop, Inc",OH,Cooperative,"16,349","205,052","40,808.7",19.90
Butler Rural Electric Coop Inc - (OH),OH,Cooperative,"11,374","181,115","32,898.0",18.16
City of Bowling Green - (OH),OH,Municipal,"13,068","98,734","15,168.0",15.36
City of Celina - (OH),OH,Municipal,"7,557","99,237","9,047.0",9.12
City of Cleveland - (OH),OH,Municipal,"64,914","383,954","57,086.1",14.87
City of Columbus - (OH),OH,Municipal,"15,510","102,518","11,609.0",11.32
City of Cuyahoga Falls - (OH),OH,Municipal,"24,349","178,861","23,284.0",13.02
City of Dover - (OH),OH,Municipal,"5,869","54,650","8,214.0",15.03
City of Hamilton - (OH),OH,Municipal,"26,964","251,261","38,789.0",15.44
City of Lebanon - (OH),OH,Municipal,"8,707","87,082","9,704.0",11.14
City of Niles - (OH),OH,Municipal,"11,882","78,886","7,347.0",9.31
City of Orrville - (OH),OH,Municipal,"6,314","74,411","8,159.0",10.96
City of Painesville,OH,Municipal,"10,832","85,971","10,961.0",12.75
City of Piqua - (OH),OH,Municipal,"9,829","87,795","11,281.1",12.85
City of Wadsworth - (OH),OH,Municipal,"12,180","113,414","13,596.0",11.99
City of Westerville - (OH),OH,Municipal,"15,713","173,993","22,950.0",13.19
Cleveland Electric Illum Co,OH,Investor Owned,"131,370","971,325","162,787.4",16.76
Clyde Light & Power,OH,Municipal,"2,776","24,773","2,998.0",12.10
Consolidated Cooperative,OH,Cooperative,"16,897","257,472","41,474.0",16.11
Dayton Power & Light Co,OH,Investor Owned,"132,522","1,455,682","223,026.0",15.32
Duke Energy Ohio Inc,OH,Investor Owned,"294,084","3,135,248","470,342.6",15.00
"EverBright, LLC",OH,Behind the Meter,267,"1,877",288.0,15.34
Guernsey-Muskingum El Coop Inc,OH,Cooperative,"15,289","168,625","30,348.0",18.00
Hancock-Wood Electric Coop Inc,OH,Cooperative,"11,307","146,926","25,043.7",17.05
Holmes-Wayne Electric Coop Inc,OH,Cooperative,"14,714","177,870","29,379.2",16.52
Licking Rural Electric Inc,OH,Cooperative,"25,820","326,266","55,072.1",16.88
"Lorain-Medina R E C, Inc",OH,Cooperative,"15,234","212,521","36,685.7",17.26
"Midwest Electric, Inc - (OH)",OH,Cooperative,"10,836","171,169","26,145.3",15.27
Midwest Energy Cooperative - (MI),OH,Cooperative,863,"10,496","2,043.7",19.47
"North Central Elec Coop, Inc - (OH)",OH,Cooperative,"8,433","119,796","20,479.1",17.09
Ohio Edison Co,OH,Investor Owned,"251,751","2,373,567","383,931.4",16.18
Ohio Power Co,OH,Investor Owned,"550,768","5,934,288","1,147,047.0",19.33
"Palmetto Solar, LLC",OH,Behind the Meter,21,583,112.0,19.21
"Paulding-Putman Elec Coop, Inc",OH,Cooperative,"9,176","119,032","21,037.1",17.67
